"""id"",""name"",""longitude"",""latitude"",""tot_pop"""
"""01"",""Andaluc?a"",-4.57619759928521,37.4681178570892"
"""02"",""Arag?n"",-0.665188363252903,41.5139247146545"
"""03"",""Principado de Asturias"",-5.99327675127265,43.2937220828477"
"""04"",""Islas Baleares"",2.90480293180095,39.5736869066881"
"""05"",""Islas Canarias"",-15.6703443955745,28.3501719765776"
"""06"",""Cantabria"",-4.03212552496074,43.1971511768274"
"""07"",""Castilla y Le?n"",-4.78484344919995,41.7521468123472"
"""08"",""Castilla-La Mancha"",-3.00638893532113,39.577577660364"
"""09"",""Catalu?a"",1.5243542306751,41.797427299488"
"""10"",""Comunidad Valenciana"",-0.557814181118517,39.3950044279987"
"""11"",""Extremadura"",-6.15132249142922,39.1877394661092"
"""12"",""Galicia"",-7.91087207569347,42.7547472692852"
"""13"",""Comunidad de Madrid"",-3.71679674194616,40.494566396543"
"""14"",""Regi?n de Murcia"",-1.48537547094598,38.0012558520825"
"""15"",""Comunidad Foral de Navarra"",-1.64778049397349,42.6666457550456"
"""16"",""Pa?s Vasco"",-2.61690349909685,43.0432512002306"
"""17"",""La Rioja"",-2.5164092074648,42.2752992031491"
"""18"",""Ceuta y Melilla"",-4.70069346060481,35.7402194038668"
